PlaceName,State,TCUSA,Years,TCPopulation,pop_2012,pct_poverty,hh_inc_med,fam_inc_med,pct_hsgrad,pct_bachdeg,pct_ownocc,pct_rentocc,hm_val_med,pct_white,age_med,pct_u18,pct_o65,region9,tcusa8nn
Fobes Hill CDP,WA,0,0,-99,2500,0.0709,70655,84479,0.916,0.2308,0.8826,0.1174,382100,0.932,38.8,0.2592,0.1036,Pacific,1
Richfield town,NY,0,0,-99,2501,0.118,37328,47946,0.844,0.185,0.807,0.193,97500,0.982,49.3,0.148,0.269,Middle Atlantic,0
Windermere town,FL,1,20,2855,2503,0.0447,111467,125197,1,0.5989,0.886,0.114,571000,0.9365,44.3,0.2581,0.1434,South Atlantic,1
Hardinsburg city,KY,0,0,-99,2503,0.2315,31250,44881,0.7282,0.1241,0.6213,0.3787,79700,0.9229,38.8,0.2625,0.1506,East South Central,0
Andover town,NH,0,0,-99,2503,0.083,70583,76654,0.9,0.29,0.866,0.134,216700,0.9628,48.6,0.169,0.192,New England,1
Brasher town,NY,0,0,-99,2503,0.195,40119,53836,0.871,0.113,0.796,0.204,95000,0.9381,42.8,0.257,0.137,Middle Atlantic,0
Wrightsville Beach town,NC,0,0,-99,2504,0.1494,72667,116250,0.987,0.671,0.5747,0.4253,911700,0.9912,34.2,0.139,0.131,South Atlantic,1
Greenville CDP,DE,0,0,-99,2505,0.0493,156635,222938,0.9942,0.6593,0.6275,0.3725,696400,0.8551,48,0.1956,0.2335,South Atlantic,1
Oxford township,NJ,0,0,-99,2505,0.02,65489,69406,0.872,0.22,0.862,0.138,212400,0.9301,41.1,0.239,0.107,Middle Atlantic,1
Glen town,NY,0,0,-99,2505,0.054,59214,65875,0.869,0.16,0.799,0.201,104700,0.9489,40.4,0.198,0.138,Middle Atlantic,0
Williamsburg village,OH,1,9,2490,2505,0.2335,42773,48500,0.8143,0.0813,0.4814,0.5186,105400,0.9796,30.3,0.3345,0.0802,East North Central,0
North Sioux City city,SD,0,0,-99,2505,0.0633,56557,67900,0.8996,0.2589,0.6851,0.3149,113900,0.909,37.8,0.2379,0.1337,West North Central,2
Bullard town,TX,0,0,-99,2505,0.0787,58571,66905,0.9606,0.3236,0.8063,0.1937,128000,0.9553,31.9,0.3485,0.0798,West South Central,1
Welch city,WV,0,0,-99,2505,0.2331,30550,46591,0.7891,0.1117,0.6286,0.3714,51800,0.8024,43.1,0.1836,0.1745,South Atlantic,0
Moscow Mills city,MO,0,0,-99,2506,0.2176,39706,41691,0.7965,0.0701,0.701,0.299,66600,0.9122,30.1,0.3128,0.0774,West North Central,1
St. Henry village,OH,0,0,-99,2506,0.0577,66354,77143,0.9051,0.1935,0.7902,0.2098,144600,0.9876,36.4,0.2901,0.1792,East North Central,2
Luxemburg village,WI,0,0,-99,2506,0.0794,56250,72857,0.8879,0.1534,0.6811,0.3189,159700,0.9621,33.6,0.3117,0.1568,East North Central,5
Dunkirk city,IN,0,0,-99,2508,0.1432,32778,36771,0.7588,0.0683,0.7169,0.2831,56100,0.9932,32.8,0.3042,0.128,East North Central,1
Bar Harbor CDP,ME,0,0,-99,2508,0.2111,33968,79830,0.9152,0.4239,0.3873,0.6127,297400,0.939,36.9,0.1112,0.1547,New England,1
Yates town,NY,0,0,-99,2509,0.095,48750,54896,0.851,0.117,0.82,0.18,87700,0.9502,41.6,0.267,0.151,Middle Atlantic,2
Oakland town,FL,1,11,2547,2510,0.1329,81685,89500,0.9444,0.437,0.7964,0.2036,290400,0.6928,35.8,0.2932,0.0669,South Atlantic,3
Natalbany CDP,LA,0,0,-99,2510,0.2545,30453,31223,0.8264,0.2458,0.3786,0.6214,77400,0.4984,26.2,0.2355,0.1187,West South Central,0
Grifton town,NC,0,0,-99,2510,0.2355,34399,46366,0.8949,0.181,0.627,0.373,104600,0.5964,46.6,0.2641,0.2235,South Atlantic,1
Timberville town,VA,0,0,-99,2511,0.1253,41816,50000,0.7447,0.1514,0.6408,0.3592,143500,0.9853,42,0.2031,0.1844,South Atlantic,2
Bertsch-Oceanview CDP,CA,0,0,-99,2513,0.2114,48750,58367,0.7611,0.1123,0.7536,0.2464,173100,0.8201,37.6,0.2813,0.1154,Pacific,0
Osseo city,MN,0,0,-99,2513,0.0908,43114,63452,0.9359,0.2256,0.5202,0.4798,193700,0.9049,49.2,0.1464,0.2738,West North Central,5
Villa Ridge CDP,MO,0,0,-99,2513,0.1535,59966,71161,0.9115,0.1566,0.9492,0.0508,141200,1,45.1,0.2197,0.1548,West North Central,2
Tuftonboro town,NH,0,0,-99,2513,0.081,60143,64659,0.954,0.39,0.871,0.129,241000,0.992,50.6,0.229,0.218,New England,1
Marysville borough,PA,0,0,-99,2513,0.068,44868,63309,0.906,0.176,0.705,0.295,132500,0.8818,42.3,0.189,0.177,Middle Atlantic,0
Estill town,SC,0,0,-99,2513,0.3542,35000,40845,0.7421,0.1207,0.5968,0.4032,88800,0.1791,30.2,0.2977,0.1055,South Atlantic,0
Norway CDP,ME,0,0,-99,2514,0.2477,24964,27944,0.8206,0.1054,0.5216,0.4784,102900,0.9634,45.6,0.1901,0.2056,New England,1
Londonderry township,PA,0,0,-99,2514,0.052,97625,106506,0.892,0.325,0.892,0.108,312400,0.9658,40.7,0.255,0.114,Middle Atlantic,0
Bethlehem town,NH,0,0,-99,2515,0.187,46181,60592,0.91,0.292,0.668,0.332,163400,0.9439,44.2,0.24,0.134,New England,0
Snyder township,PA,0,0,-99,2515,0.13,52861,56953,0.913,0.14,0.848,0.152,88200,0.9905,39.8,0.24,0.147,Middle Atlantic,0
Anson city,TX,0,0,-99,2515,0.1497,36927,49364,0.7494,0.0909,0.6738,0.3262,53000,0.8954,35.4,0.3276,0.1571,West South Central,0
Spring Valley city,MN,0,0,-99,2516,0.1321,44571,53529,0.8898,0.128,0.7387,0.2613,108400,0.9587,42.8,0.2277,0.186,West North Central,0
Franklin township,PA,0,0,-99,2516,0.101,42750,48203,0.842,0.146,0.905,0.095,69800,0.9595,43.5,0.217,0.231,Middle Atlantic,0
New Hope borough,PA,0,0,-99,2518,0.027,83182,116000,0.966,0.551,0.63,0.37,597000,0.9249,46,0.193,0.177,Middle Atlantic,0
Wrightsville borough,PA,0,0,-99,2518,0.085,50781,55341,0.816,0.137,0.698,0.302,125600,0.9067,42.2,0.206,0.162,Middle Atlantic,1
Navy Yard City CDP,WA,0,0,-99,2518,0.2144,48241,60493,0.8596,0.1271,0.5559,0.4441,151200,0.6037,32,0.2069,0.1005,Pacific,1
Poynette village,WI,0,0,-99,2518,0.122,53355,74688,0.9229,0.1448,0.6868,0.3132,156800,0.946,35.2,0.2748,0.1144,East North Central,3
Moorefield town,WV,0,0,-99,2518,0.2029,26582,36731,0.7782,0.0997,0.5873,0.4127,113100,0.8376,41.2,0.2033,0.1878,South Atlantic,0
Edgewood city,FL,0,0,-99,2519,0.0532,71210,104609,0.9682,0.3917,0.8985,0.1015,254400,0.7705,43.3,0.2191,0.1449,South Atlantic,2
East Hopewell township,PA,0,0,-99,2519,0.045,81728,88846,0.864,0.195,0.938,0.062,232700,0.9794,43.4,0.224,0.12,Middle Atlantic,0
Warwick township,PA,0,0,-99,2519,0.028,73594,81250,0.931,0.351,0.795,0.205,306300,0.977,44.8,0.231,0.135,Middle Atlantic,0
Paden City city,WV,0,0,-99,2519,0.1834,33617,45240,0.8567,0.1383,0.8014,0.1986,72200,0.9909,45.2,0.1993,0.2152,South Atlantic,0
Alexander town,NY,0,0,-99,2520,0.053,59138,64861,0.92,0.13,0.857,0.143,106000,0.9825,42.2,0.254,0.122,Middle Atlantic,0
Saville township,PA,0,0,-99,2520,0.126,58333,61838,0.826,0.15,0.789,0.211,169500,0.973,35.9,0.274,0.096,Middle Atlantic,0
